,city,date,venue,team1,team2,winner,address,location
382,Bangalore,4/4/2013,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
383,Hyderabad,4/5/2013,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
384,Delhi,4/6/2013,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
385,Chennai,4/6/2013,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Chennai Super Kings,Mumbai Indians,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
386,Pune,4/7/2013,Subrata Roy Sahara Stadium,Pune Warriors,Kings XI Punjab,Kings XI Punjab,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
387,Hyderabad,4/7/2013,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
388,Jaipur,4/8/2013,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
389,Mumbai,4/9/2013,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
390,Chandigarh,4/10/2013,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
391,Bangalore,4/11/2013,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
392,Pune,4/11/2013,Subrata Roy Sahara Stadium,Rajasthan Royals,Pune Warriors,Pune Warriors,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
393,Delhi,4/12/2013,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
394,Mumbai,4/13/2013,Wankhede Stadium,Mumbai Indians,Pune Warriors,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
395,Chennai,4/13/2013,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
396,Kolkata,4/14/2013,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
397,Jaipur,4/14/2013,Sawai Mansingh Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
398,Chennai,4/15/2013,"MA Chidambaram Stadium, Chepauk",Pune Warriors,Chennai Super Kings,Pune Warriors,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
399,Chandigarh,4/16/2013,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
400,Bangalore,4/16/2013,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
401,Pune,4/17/2013,Subrata Roy Sahara Stadium,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
402,Jaipur,4/17/2013,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
403,Delhi,4/18/2013,Feroz Shah Kotla,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
404,Hyderabad,4/19/2013,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
405,Kolkata,4/20/2013,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
406,Bangalore,4/20/2013,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
407,Delhi,4/21/2013,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
408,Chandigarh,4/21/2013,"Punjab Cricket Association Stadium, Mohali",Pune Warriors,Kings XI Punjab,Kings XI Punjab,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
409,Chennai,4/22/2013,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
410,Bangalore,4/23/2013,M Chinnaswamy Stadium,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
411,Dharamsala,5/16/2013,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,"Himachal Pradesh Cricket Association Stadium, Police Lines, Jikhli Dar, Civil Lines, Chelian, Dharmsala, Kangra, Himachal Pradesh, 176200, India","(32.1975918, 76.32503371593408)"
412,Kolkata,4/24/2013,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
413,Chennai,4/25/2013,"MA Chidambaram Stadium, Chepauk",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
414,Kolkata,4/26/2013,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
415,Jaipur,4/27/2013,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
416,Mumbai,4/27/2013,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
417,Chennai,4/28/2013,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
418,Raipur,4/28/2013,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,Pune Warriors,Delhi Daredevils,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
419,Jaipur,4/29/2013,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
420,Mumbai,4/29/2013,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
421,Pune,4/30/2013,Subrata Roy Sahara Stadium,Chennai Super Kings,Pune Warriors,Chennai Super Kings,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
422,Hyderabad,5/1/2013,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
423,Raipur,5/1/2013,Shaheed Veer Narayan Singh International Stadium,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
424,Chennai,5/2/2013,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
425,Pune,5/2/2013,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
426,Kolkata,5/3/2013,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
427,Hyderabad,5/4/2013,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
428,Bangalore,5/14/2013,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
429,Mumbai,5/5/2013,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
430,Jaipur,5/5/2013,Sawai Mansingh Stadium,Pune Warriors,Rajasthan Royals,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
431,Bangalore,4/9/2013,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
432,Jaipur,5/7/2013,Sawai Mansingh Stadium,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
433,Mumbai,5/7/2013,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
434,Hyderabad,5/8/2013,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
435,Chandigarh,5/9/2013,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
436,Pune,5/9/2013,Subrata Roy Sahara Stadium,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
437,Delhi,5/10/2013,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
438,Pune,5/11/2013,Subrata Roy Sahara Stadium,Pune Warriors,Mumbai Indians,Mumbai Indians,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
439,Chandigarh,5/11/2013,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
440,Ranchi,5/12/2013,JSCA International Stadium Complex,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,"JSCA International Cricket Stadium, Approach Road, Nagri, Ranchi, Jharkhand, 834004, India","(23.31045215, 85.27487741053811)"
441,Jaipur,5/12/2013,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
442,Delhi,4/23/2013,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
443,Mumbai,5/13/2013,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
444,Ranchi,5/15/2013,JSCA International Stadium Complex,Pune Warriors,Kolkata Knight Riders,Pune Warriors,"JSCA International Cricket Stadium, Approach Road, Nagri, Ranchi, Jharkhand, 834004, India","(23.31045215, 85.27487741053811)"
445,Chennai,5/14/2013,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
446,Mumbai,5/15/2013,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
447,Chandigarh,5/6/2013,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
448,Hyderabad,5/17/2013,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
449,Dharamsala,5/18/2013,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,"Himachal Pradesh Cricket Association Stadium, Police Lines, Jikhli Dar, Civil Lines, Chelian, Dharmsala, Kangra, Himachal Pradesh, 176200, India","(32.1975918, 76.32503371593408)"
450,Pune,5/19/2013,Subrata Roy Sahara Stadium,Pune Warriors,Delhi Daredevils,Pune Warriors,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
451,Bangalore,5/18/2013,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
452,Hyderabad,5/19/2013,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,"Rajiv Gandhi International Cricket Stadium, espi rd, VV Nagar, Ward 8 Habsiguda, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500 007, India","(17.4059481, 78.5505637699028)"
453,Delhi,5/21/2013,Feroz Shah Kotla,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
454,Delhi,5/22/2013,Feroz Shah Kotla,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
455,Kolkata,5/24/2013,Eden Gardens,Rajasthan Royals,Mumbai Indians,Mumbai Indians,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
456,Kolkata,5/26/2013,Eden Gardens,Mumbai Indians,Chennai Super Kings,Mumbai Indians,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
457,Abu Dhabi,4/16/2014,Sheikh Zayed Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,"Zayed Sports City Stadium, Entrance 39, المدينة الرياضية, Zayed Sports City, نادي العاصمة للفروسية +971501222551, أبوظبي, أبو ظبي, 35268, الإمارات العربية المتحدة","(24.416085250000002, 54.452600653174294)"
458,Sharjah,4/17/2014,Sharjah Cricket Stadium,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,"Sharjah Cricket Stadium, شارع الصناعي الثاني, المنطقة الصناعية, مدينة الشارقة, الشارقة, 62671, الإمارات العربية المتحدة","(25.33078055, 55.42090675730459)"
459,Abu Dhabi,4/18/2014,Sheikh Zayed Stadium,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,"Zayed Sports City Stadium, Entrance 39, المدينة الرياضية, Zayed Sports City, نادي العاصمة للفروسية +971501222551, أبوظبي, أبو ظبي, 35268, الإمارات العربية المتحدة","(24.416085250000002, 54.452600653174294)"
460,Abu Dhabi,4/18/2014,Sheikh Zayed Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,"Zayed Sports City Stadium, Entrance 39, المدينة الرياضية, Zayed Sports City, نادي العاصمة للفروسية +971501222551, أبوظبي, أبو ظبي, 35268, الإمارات العربية المتحدة","(24.416085250000002, 54.452600653174294)"
461,,4/19/2014,Dubai International Cricket Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,"استاد دبي الدولي للكريكيت, Sheikh Mohammed Bin Zayed Road (North), مدينة دبي الرياضية, دبي, 3452 CZ, الإمارات العربية المتحدة","(25.046738400000002, 55.219006962225635)"
462,,4/19/2014,Dubai International Cricket Stadium,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,"استاد دبي الدولي للكريكيت, Sheikh Mohammed Bin Zayed Road (North), مدينة دبي الرياضية, دبي, 3452 CZ, الإمارات العربية المتحدة","(25.046738400000002, 55.219006962225635)"
463,Sharjah,4/20/2014,Sharjah Cricket Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,"Sharjah Cricket Stadium, شارع الصناعي الثاني, المنطقة الصناعية, مدينة الشارقة, الشارقة, 62671, الإمارات العربية المتحدة","(25.33078055, 55.42090675730459)"
464,Abu Dhabi,4/21/2014,Sheikh Zayed Stadium,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,"Zayed Sports City Stadium, Entrance 39, المدينة الرياضية, Zayed Sports City, نادي العاصمة للفروسية +971501222551, أبوظبي, أبو ظبي, 35268, الإمارات العربية المتحدة","(24.416085250000002, 54.452600653174294)"
465,Sharjah,4/22/2014,Sharjah Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,"Sharjah Cricket Stadium, شارع الصناعي الثاني, المنطقة الصناعية, مدينة الشارقة, الشارقة, 62671, الإمارات العربية المتحدة","(25.33078055, 55.42090675730459)"
466,,4/23/2014,Dubai International Cricket Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,"استاد دبي الدولي للكريكيت, Sheikh Mohammed Bin Zayed Road (North), مدينة دبي الرياضية, دبي, 3452 CZ, الإمارات العربية المتحدة","(25.046738400000002, 55.219006962225635)"
467,Sharjah,4/24/2014,Sharjah Cricket Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, شارع الصناعي الثاني, المنطقة الصناعية, مدينة الشارقة, الشارقة, 62671, الإمارات العربية المتحدة","(25.33078055, 55.42090675730459)"
468,,4/25/2014,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,"استاد دبي الدولي للكريكيت, Sheikh Mohammed Bin Zayed Road (North), مدينة دبي الرياضية, دبي, 3452 CZ, الإمارات العربية المتحدة","(25.046738400000002, 55.219006962225635)"
469,,4/25/2014,Dubai International Cricket Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,"استاد دبي الدولي للكريكيت, Sheikh Mohammed Bin Zayed Road (North), مدينة دبي الرياضية, دبي, 3452 CZ, الإمارات العربية المتحدة","(25.046738400000002, 55.219006962225635)"
470,Abu Dhabi,4/26/2014,Sheikh Zayed Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,"Zayed Sports City Stadium, Entrance 39, المدينة الرياضية, Zayed Sports City, نادي العاصمة للفروسية +971501222551, أبوظبي, أبو ظبي, 35268, الإمارات العربية المتحدة","(24.416085250000002, 54.452600653174294)"
471,Abu Dhabi,4/26/2014,Sheikh Zayed Stadium,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,"Zayed Sports City Stadium, Entrance 39, المدينة الرياضية, Zayed Sports City, نادي العاصمة للفروسية +971501222551, أبوظبي, أبو ظبي, 35268, الإمارات العربية المتحدة","(24.416085250000002, 54.452600653174294)"
472,Sharjah,4/27/2014,Sharjah Cricket Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,"Sharjah Cricket Stadium, شارع الصناعي الثاني, المنطقة الصناعية, مدينة الشارقة, الشارقة, 62671, الإمارات العربية المتحدة","(25.33078055, 55.42090675730459)"
473,Sharjah,4/27/2014,Sharjah Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,"Sharjah Cricket Stadium, شارع الصناعي الثاني, المنطقة الصناعية, مدينة الشارقة, الشارقة, 62671, الإمارات العربية المتحدة","(25.33078055, 55.42090675730459)"
474,,4/28/2014,Dubai International Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,"استاد دبي الدولي للكريكيت, Sheikh Mohammed Bin Zayed Road (North), مدينة دبي الرياضية, دبي, 3452 CZ, الإمارات العربية المتحدة","(25.046738400000002, 55.219006962225635)"
