,city,date,venue,team1,team2,winner,address,location
290,Bangalore,5/14/2011,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
291,Mumbai,5/14/2011,Wankhede Stadium,Deccan Chargers,Mumbai Indians,Deccan Chargers,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
292,Dharamsala,5/15/2011,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,"Himachal Pradesh Cricket Association Stadium, Police Lines, Jikhli Dar, Civil Lines, Chelian, Dharmsala, Kangra, Himachal Pradesh, 176200, India","(32.1975918, 76.32503371593408)"
293,Indore,5/15/2011,Holkar Cricket Stadium,Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,"Holkar Cricket Stadium, Indore, Indore Tahsil, Indore, Madhya Pradesh, India","(22.72425115, 75.87967029005587)"
294,Mumbai,5/16/2011,Dr DY Patil Sports Academy,Pune Warriors,Deccan Chargers,Deccan Chargers,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
295,Dharamsala,5/17/2011,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,"Himachal Pradesh Cricket Association Stadium, Police Lines, Jikhli Dar, Civil Lines, Chelian, Dharmsala, Kangra, Himachal Pradesh, 176200, India","(32.1975918, 76.32503371593408)"
296,Chennai,5/18/2011,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
297,Mumbai,5/19/2011,Dr DY Patil Sports Academy,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
298,Mumbai,5/20/2011,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
299,Dharamsala,5/21/2011,Himachal Pradesh Cricket Association Stadium,Deccan Chargers,Kings XI Punjab,Deccan Chargers,"Himachal Pradesh Cricket Association Stadium, Police Lines, Jikhli Dar, Civil Lines, Chelian, Dharmsala, Kangra, Himachal Pradesh, 176200, India","(32.1975918, 76.32503371593408)"
300,Delhi,5/21/2011,Feroz Shah Kotla,Delhi Daredevils,Pune Warriors,,"Feroz Shah Kotla Ground, Bahadur Shah Zafar Marg, Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110002, India","(28.63753095, 77.24293445747605)"
301,Bangalore,5/22/2011,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
302,Kolkata,5/22/2011,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
303,Mumbai,5/24/2011,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
304,Mumbai,5/25/2011,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
305,Chennai,5/27/2011,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
306,Chennai,5/28/2011,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
307,Chennai,4/4/2012,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,"எம்.ஏ. சிதம்பரம் விளையாட்டு அரங்கம், Victoria Hostel Road, CMWSSB Division 114, Ward 114, Zone 9 Teynampet, Chennai, Chennai District, Tamil Nadu, 600001, India","(13.0626873, 80.27922739309865)"
308,Kolkata,4/5/2012,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,"Eden Gardens, Eden Garden Road, Benoy-Badal-Dinesh Bagh, Kolkata, West Bengal, 700021, India","(22.564561349999998, 88.34424156337812)"
309,Mumbai,4/6/2012,Wankhede Stadium,Pune Warriors,Mumbai Indians,Pune Warriors,"Wankhede Stadium, Maharshi Karve Road, Churchgate, A Ward, Zone 1, Mumbai, Mumbai Metropolitan Region, Mumbai City, Maharashtra, 400023, India","(18.9385497, 72.82574081674653)"
310,Jaipur,4/6/2012,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,"Sawai Mansingh Stadium, S Gate VIP Entrance, Lalkothi, Bapu Nagar, Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302015, India","(26.8939911, 75.80322693888199)"
311,Bangalore,4/7/2012,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,"M. Chinnaswamy Stadium, Link Road, Shantala Nagar, East Zone, Bengaluru, Bangalore North, Bangalore Urban, Karnataka, BENGALURU, India","(12.9788243, 77.60038607501548)"
312,Visakhapatnam,4/7/2012,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,"None, Torino, Piemonte, Italia","(44.933143, 7.540121)"
